Player 1,Player 2,DUPR 1,DUPR 2
Brian Kimani,Victor Otieno,4.62,4.41
Samuel Njoroge,Dennis Mwangi,4.55,4.28
Hassan Abdi,Yusuf Farah,4.31,4.44
Peter Wanjiru,Collins Ochieng,4.20,4.05
Alykhan Somji,Feroz Karim,3.98,4.12
Tom Kariuki,Eric Muriuki,3.90,3.86
Daniel Kiptoo,Elias Rotich,3.84,3.71
George Mutiso,Kevin Omondi,3.66,3.79
Ali Rashid,Bilal Noor,3.61,3.52
Martin Gitau,Simon Ndegwa,3.48,3.55
Joseph Barasa,Patrick Wekesa,3.40,3.33
Ian Mbugua,Charles Kamau,3.27,3.44
Raj Patel,Nikhil Shah,3.19,3.30
Steve Onyango,Michael Odhiambo,3.12,3.05
Anthony Mureithi,Paul Githinji,2.94,3.08
Frank Amolo,Duncan Cheruiyot,2.85,2.72
